model,Gsolv,timing
499,-3713.2499009999997,37.18
500,-3744.8425424999996,36.02
501,-3766.8704875,36.75
502,-3732.652346,36.4
503,-3755.5650845000005,36.25
504,-3785.8791075,35.88
505,-3850.5372959999995,34.98
506,-3826.1464010000004,35.48
507,-3784.2171660000004,35.62
508,-3744.6456300000004,35.25
509,-3783.5345359999997,35.12
510,-3709.7212289999998,35.47
511,-3721.845788,35.83
512,-3820.685361,37.03
513,-3765.5761159999997,36.79
514,-3875.7762275,35.84
515,-3857.0590380000003,37.06
516,-3772.2580135,36.39
517,-3813.533499,35.66
518,-3786.0628925,37.13
519,-3829.3468855,35.85
520,-3815.7100385,35.19
521,-3747.5651860000003,35.33
522,-3695.9767365000002,33.8
523,-3749.3689045,34.26
524,-3776.650475,34.58
525,-3776.487694,35.32
526,-3745.5409255,35.2
527,-3748.5602505,35.62
528,-3819.141567,35.7
529,-3808.34026,35.4
530,-3752.1493090000004,35.72
531,-3806.759709,35.01
532,-3820.076245,35.98
533,-3867.9627394999998,35.7
534,-3787.7012044999997,36.06
535,-3844.955483,35.47
536,-3794.0995479999997,35.62
537,-3873.8254810000003,36.37
538,-3801.361681,36.51
539,-3803.2336625,36.7
540,-3773.6180225,35.68
541,-3769.755912,35.42
542,-3819.1494435,35.48
543,-3798.736181,35.33
544,-3816.694601,35.13
545,-3765.7388969999997,35.13
546,-3784.4114529999997,33.93
547,-3834.6057619999997,35.72
548,-3824.581603,35.78
549,-3845.0079929999997,36.32
550,-3849.019757,36.68
551,-3920.926951,37.07
552,-3804.5989225,35.98
553,-3719.2964275,36.7
554,-3832.9700755,37.04
555,-3769.5248679999995,37.02
556,-3789.33164,36.74
557,-3839.536451,36.57
558,-3826.0387554999998,35.49
559,-3861.475129,36.44
560,-3749.523809,35.92
561,-3834.5663795,36.07
562,-3885.8633984999997,36.15
563,-3930.7121895,34.42
564,-3830.688516,34.46
565,-3841.3034125,34.73
566,-3964.71504,35.74
567,-3955.2894950000004,36.23
568,-3938.4626655,36.69
569,-3841.048739,36.55
570,-3790.0063935000003,36.13
571,-3812.168239,36.19
572,-3795.9767804999997,36.42
573,-3815.465867,34.4
574,-3817.629279,34.85
575,-3928.5724069999997,36.57
576,-3831.9907639999997,35.85
577,-3769.1546725,34.72
578,-3781.5470325,35.47
579,-3859.9864705,35.36
580,-3819.5222645,35.03
581,-3825.2511055,34.96
582,-3874.8835575,35.08
583,-3969.4698205000004,35.3
584,-3841.7655005,35.47
585,-3829.013447,35.74
586,-3872.124157,34.77
587,-3850.3535110000003,34.94
588,-3899.9597080000003,35.02
589,-3802.0889445000003,36.11
590,-3748.4814855,36.58
591,-3816.930896,36.98
592,-3829.559551,36.2
593,-3830.4548465000003,35.4
594,-3737.320485,35.92
595,-3789.788477,35.65
596,-3735.6034080000004,34.82
597,-3855.5073675000003,36.63
598,-3832.8650555000004,35.75
599,-3918.5456225,34.46
600,-3915.707457,35.32
601,-3885.1807685,35.13
602,-3904.7564965,34.99
603,-3899.7365405,36.89
604,-3827.2989955,33.99
605,-3781.45514,34.66
606,-3859.726546,34.79
607,-3834.01765,35.41
608,-3806.1479674999996,35.03
609,-3814.3264000000004,34.51
610,-3851.8920540000004,35.06
611,-3809.064898,34.0
612,-3798.7598105,34.28
613,-3771.3443395,33.76
614,-3792.0857895,33.85
615,-3770.0840995,34.01
616,-3810.86074,33.96
617,-3755.8381365,34.59
618,-3838.286713,35.17
619,-3844.2019644999996,34.03
620,-3820.4884485,33.44
621,-3808.1380965,33.87
622,-3802.0049285,34.43
623,-3776.020355,33.18
624,-3836.8348115,34.05
625,-3747.559935,33.22
626,-3891.421582,34.1
627,-3899.1641815,33.72
628,-3805.6543735,33.97
629,-3804.5936715,33.68
630,-3769.734908,32.02
631,-3777.7505595,32.42
632,-3668.747676,32.72
633,-3784.3878235,34.64
634,-3720.9058590000004,33.73
635,-3828.000004,32.62
636,-3770.8770004999997,33.2
637,-3745.06571,32.49
638,-3819.083806,33.65
639,-3802.3436180000003,33.93
640,-3775.742052,33.72
641,-3875.978391,32.77
642,-3798.4552525,32.79
643,-3776.330164,34.91
644,-3813.1738055,34.92
645,-3862.4596915,33.61
646,-3855.3760924999997,33.15
647,-3849.8730445,33.41
648,-3749.077474,33.93
649,-3768.758222,35.43
650,-3908.324551,34.93
651,-3849.009255,34.74
652,-3820.0893725,34.73
653,-3831.9723855,33.5
654,-3754.6356575,34.64
655,-3807.158785,34.8
656,-3807.92018,33.81
657,-3835.5535675,35.19
658,-3802.3042355,34.33
659,-3768.0677155000003,34.43
660,-3833.6684585,33.86
661,-3783.4794005000003,34.56
662,-3819.383113,34.9
663,-3841.4766955,33.58
664,-3830.1450375,33.66
665,-3861.9818505,33.15
666,-3858.3534094999995,33.96
667,-3880.7673029999996,33.68
668,-3885.472199,33.92
669,-3886.144327,34.25
670,-3876.8526825,33.41
671,-3812.6959645,33.8
672,-3797.4286819999998,34.49
673,-3760.1177015,34.26
674,-3797.134626,33.64
675,-3799.3663010000005,33.69
676,-3795.5041905000003,33.91
677,-3834.526997,34.6
678,-3766.0828375,33.41
679,-3810.7740985,33.7
680,-3834.2460685,33.59
681,-3841.1012490000003,33.26
682,-3882.7968145,33.23
683,-3848.1454655000002,32.67
684,-3806.1532184999996,32.34
685,-3797.9249015,32.89
686,-3794.2360740000004,34.12
687,-3799.0276115,33.7
688,-3760.482646,33.08
689,-3779.186708,33.44
690,-3776.125375,32.49
691,-3813.9562045,31.94
692,-3837.352035,31.94
693,-3819.1389415000003,32.5
694,-3843.3880595,32.47
695,-3847.5836085,32.78
696,-3923.095614,33.31
697,-3918.1517975,33.26
698,-3937.215553,31.71
699,-3971.7671330000003,32.39
700,-3890.5420395,32.44
701,-3912.3678210000003,32.34
702,-3925.7552455,33.6
703,-3905.1818275,33.63
704,-3883.1958905,34.38
705,-3896.2997609999998,33.91
706,-3962.1683049999997,33.65
707,-3859.1594379999997,33.57
708,-3811.2676925,33.96
709,-3677.9841850000003,32.67
710,-3772.8356235,32.86
711,-3822.8303945000002,32.26
712,-3806.4420235000002,33.71
713,-3789.2660025,33.0
714,-3751.2645155,33.75
715,-3795.6800989999997,33.01
716,-3794.839939,32.78
717,-3750.0620365,32.18
718,-3818.2961560000003,33.0
719,-3744.236052,32.38
720,-3823.179586,32.0
721,-3739.300112,32.14
722,-3733.8049405,32.39
723,-3719.2255389999996,32.25
724,-3778.5329585000004,33.35
725,-3760.1833389999997,33.0
726,-3822.664988,33.39
727,-3721.2603015000004,33.2
728,-3696.205155,34.26
729,-3680.3865175,33.45
730,-3641.657767,32.65
731,-3678.026193,32.83
732,-3723.405335,33.5
733,-3658.418959,33.8
734,-3699.4634005000003,34.0
735,-3711.149501,33.52
736,-3812.7852315,33.21
737,-3822.827769,32.89
738,-3874.4188440000003,32.53
739,-3694.7637555,33.42
740,-3752.9842179999996,33.3
741,-3764.2397365,34.21
742,-3871.793344,33.05
743,-3727.2044334999996,33.27
744,-3713.6726065000003,32.66
745,-3807.032761,33.58
746,-3867.7133169999997,32.89
747,-3744.482849,33.16
748,-3742.687007,32.53
749,-3812.819363,32.07
750,-3705.866995,31.89
751,-3767.025392,32.44
752,-3753.472561,32.32
753,-3745.9846350000003,31.75
754,-3852.165106,32.11
755,-3877.6088265000003,32.45
756,-3803.971428,32.48
757,-3825.8628470000003,32.35
758,-3880.672785,33.78
759,-3827.642936,32.94
760,-3758.865338,33.81
761,-3865.6575505,33.08
762,-3895.7405295,32.72
763,-3822.943291,33.09
764,-3810.167608,33.21
765,-3821.866836,33.0
766,-3810.0888430000005,33.09
767,-3783.8259665,33.14
768,-3799.25603,32.84
769,-3793.37491,32.66
770,-3823.804455,33.52
771,-3817.7894345,31.8
772,-3730.1607465,32.52
773,-3790.245314,33.32
774,-3794.6010185,33.83
775,-3790.8833105,33.69
776,-3743.6925735,34.65
777,-3826.8526604999997,33.06
778,-3859.0255374999997,33.03
779,-3819.3542325,33.61
780,-3788.186922,32.72
781,-3796.63053,32.55
782,-3789.9066245000004,31.72
783,-3830.2658105,32.09
784,-3753.6300909999995,32.27
785,-3803.8270255,33.84
786,-3809.490229,32.5
787,-3817.63453,32.81
788,-3807.6077454999995,32.46
789,-3725.9284405,32.06
790,-3773.8831979999995,33.11
791,-3789.1714845,32.49
792,-3836.816433,33.58
793,-3827.879231,34.51
794,-3810.5141740000004,33.03
795,-3801.9104105,33.02
796,-3826.5481025,32.91
797,-3838.286713,34.02
798,-3828.2966855,33.45
799,-3819.9948544999997,33.83
800,-3793.248886,33.44
801,-3830.5703685000003,32.76
802,-3814.7386035,32.41
803,-3892.792093,32.97
804,-3915.6943295,33.39
805,-3858.8443780000002,33.0
806,-3873.8176045,32.26
807,-3876.8474315,32.55
808,-3880.536259,32.89
809,-3791.1196055,33.3
810,-3832.8913104999997,32.3
811,-3816.7602385,31.57
812,-3819.9738505000005,32.31
813,-3853.1444174999997,32.61
814,-3836.4672415,33.63
815,-3853.0498995,33.24
816,-3869.56692,32.04
817,-3776.2330205,32.26
818,-3831.3396399999997,33.41
819,-3823.0981954999997,31.95
820,-3882.0642999999995,32.27
821,-3776.2356459999996,31.64
822,-3843.248908,32.61
823,-3799.1956434999997,32.88
824,-3804.5122810000003,31.66
825,-3837.3494094999996,32.46
826,-3838.6175259999995,32.97
827,-3780.1213860000003,33.46
828,-3852.7926005,32.62
829,-3769.477609,32.49
830,-3776.450937,31.95
831,-3763.3155604999997,32.13
832,-3756.9881054999996,33.23
833,-3828.7010125,32.68
834,-3881.6258415,32.77
835,-3866.7707625,33.53
836,-3913.764587,34.15
837,-3956.1375315,32.92
838,-3909.7134405,34.22
839,-3839.914523,32.61
840,-3776.871017,33.1
841,-3811.690398,33.85
842,-3812.8009844999997,33.49
843,-3793.3775355,33.52
844,-3899.0302810000003,33.99
845,-3818.658475,34.35
846,-3734.742244,33.82
847,-3805.987812,33.95
848,-3914.788532,34.74
849,-3899.7785485,35.79
850,-3887.9401690000004,35.54
851,-3811.1495449999998,35.06
852,-3794.3332175,34.92
853,-3827.968498,35.03
854,-3817.308968,33.75
855,-3767.7789105,34.68
856,-3787.8508580000002,36.01
857,-3879.044975,34.98
858,-3808.60281,34.73
859,-3802.5090245,34.48
860,-3830.8302930000004,35.79
861,-3774.340035,35.09
862,-3841.442564,34.59
863,-3851.0177624999997,33.94
864,-3715.8675245000004,33.69
